make,model,car,variant,body_type,fuel_type,fuel_system,type,drivetrain,displacement,cylinders,mileage,power,torque,fuel_tank,height,length,width,doors,seats,wheelbase,airbags,keyless_entry,start/stop,12Vpower,Aux,enginemalf_alarm,immobiliser,highspeed_alert,odometer,speedometer,tripmeter,price,cluster
Hyundai,Xcent,Hyundai Xcent,Sx 1.2,Sedan,Petrol,Injection,Manual,FWD (Front Wheel Drive),1197,4,20.14,80.88,114,43.0,1520.0,3995.0,1660.0,4,5,2425.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,9877,2
Hyundai,Xcent,Hyundai Xcent,Sx 1.2 Crdi,Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1120,3,25.4,73.97,190,43.0,1520.0,3995.0,1660.0,4,5,2425.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,11179,2
Hyundai,Xcent,Hyundai Xcent,Sx 1.2 Crdi (O),Sedan,Diesel,Injection,Manual,FWD (Front Wheel Drive),1120,3,25.4,71.02,190,43.0,1520.0,3995.0,1660.0,4,5,2425.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,12255,2
Nissan,Micra,Nissan Micra,Xl (O) Cvt,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1198,3,19.34,75.95,104,41.0,1530.0,3825.0,1665.0,5,5,2450.0,2,1,0,1,0,1,1,0.0,Digital,Analog,1,9280,2
Nissan,Micra,Nissan Micra,Xv Cvt,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),1198,3,19.34,75.95,104,41.0,1530.0,3825.0,1665.0,5,5,2450.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,10943,2
Nissan,Micra,Nissan Micra,Xld (O),Hatchback,Diesel,Injection,Manual,FWD (Front Wheel Drive),1461,4,23.08,63.12,160,41.0,1525.0,3825.0,1665.0,5,5,2450.0,2,1,0,1,1,1,1,0.0,Digital,Analog,1,10409,2
Nissan,Micra,Nissan Micra,Xvd,Hatchback,Diesel,Injection,Manual,FWD (Front Wheel Drive),1461,4,23.08,63.12,160,41.0,1525.0,3825.0,1665.0,5,5,2450.0,2,1,1,1,1,1,1,0.0,Digital,Analog,1,11381,2
Mahindra,Bolero,Mahindra Bolero,Zlx,SUV,Diesel,Injection,Manual,FWD (Front Wheel Drive),2523,4,15.96,62.14,195,60.0,1880.0,4107.0,1745.0,5,7,2680.0,0,1,0,1,0,1,1,0.0,Digital,Digital,1,13191,2
Mahindra,Bolero,Mahindra Bolero,Slx,SUV,Diesel,Injection,Manual,FWD (Front Wheel Drive),2523,4,15.96,62.14,195,60.0,1880.0,4107.0,1745.0,5,7,2680.0,0,1,0,1,0,1,1,0.0,Digital,Digital,1,12838,2
Mahindra,Bolero,Mahindra Bolero,Sle,SUV,Diesel,Injection,Manual,FWD (Front Wheel Drive),2523,4,15.96,62.14,195,60.0,1880.0,4107.0,1745.0,5,7,2680.0,0,0,0,0,0,1,1,0.0,Digital,Digital,1,12050,2
